"block","prior_date","train_end","prior","class","coef","group","resp","dpar","nlpar","lb","ub","tag","source"
1,1990-01-01,1979-12-01,"normal(-1.34300337148765, 0.0446291432406395)","b","CAPE","","","","",NA,NA,"","user"
1,1990-01-01,1979-12-01,"normal(21.3679583093787, 0.587584473815462)","b","Intercept","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(-1.39181778609729, 0.0596708197409887)","b","CAPE","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(22.3875860219207, 0.62740979095211)","b","Intercept","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(-1.15212438830688, 0.0816550220241361)","b","CAPE","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(21.261096930114, 0.779566192220333)","b","Intercept","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(0.028899065317407, 0.0507461349913288)","b","CAPE","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(11.1166028318324, 0.562297654469947)","b","Intercept","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(0.144540021561736, 0.0485556179839788)","b","CAPE","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(10.4076830052246, 0.6636680886819)","b","Intercept","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(-0.412017155510669, 0.0718536423263327)","b","CAPE","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(18.1202365638683, 1.21675764655806)","b","Intercept","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(-0.703532691341535, 0.0337185560356645)","b","CAPE","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(24.287701511917, 0.712813025136585)","b","Intercept","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(-0.556739293673005, 0.0130173189086594)","b","CAPE","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(20.1569128345854, 0.380090864592867)","b","Intercept","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(-0.521149938668514, 0.017780388579376)","b","CAPE","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(18.4904143809325, 0.553434570090475)","b","Intercept","","","","",NA,NA,"","user"
