"block","prior_date","train_end","prior","class","coef","group","resp","dpar","nlpar","lb","ub","tag","source"
1,1990-01-01,1979-12-01,"normal(-0.928419019448097, 0.5)","b","CAPE","","","","",NA,NA,"","user"
1,1990-01-01,1979-12-01,"normal(20.2556102568899, 4.12654605286552)","b","Intercept","","","","",NA,NA,"","user"
1,1990-01-01,1979-12-01,"exponential(0.5)","sd","","","","","",NA,NA,"","user"
1,1990-01-01,1979-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(-0.81944805041602, 0.5)","b","CAPE","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(17.9643090133962, 3.33844473166292)","b","Intercept","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"exponential(0.5)","sd","","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(-0.822119881527753, 0.5)","b","CAPE","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(17.4943980408302, 2.64559258584588)","b","Intercept","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"exponential(0.5)","sd","","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(-0.856799401230454, 0.5)","b","CAPE","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(18.1943901961961, 2.92423305329407)","b","Intercept","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"exponential(0.5)","sd","","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(-0.819676237585824, 0.5)","b","CAPE","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(18.3709833900841, 3.87635029073922)","b","Intercept","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"exponential(0.5)","sd","","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(-0.689538274940398, 0.5)","b","CAPE","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(16.9576769685665, 4.17657089933445)","b","Intercept","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"exponential(0.5)","sd","","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(-0.363345400914522, 0.5)","b","CAPE","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(13.0224678112057, 3.66905351444329)","b","Intercept","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"exponential(0.5)","sd","","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(-0.373684277048358, 0.5)","b","CAPE","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(13.9105654812626, 2.31340669661807)","b","Intercept","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"exponential(0.5)","sd","","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(-0.396693474298425, 0.5)","b","CAPE","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(15.1153508081003, 1.66657762042707)","b","Intercept","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"exponential(0.5)","sd","","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
