"block","prior_date","train_end","prior","class","coef","group","resp","dpar","nlpar","lb","ub","tag","source"
1,1990-01-01,1979-12-01,"normal(-0.928419019448097, 0.0497605217812111)","b","CAPE","","","","",NA,NA,"","user"
1,1990-01-01,1979-12-01,"normal(20.2556102568899, 0.825309210573105)","Intercept","","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(-0.81944805041602, 0.0408046097489372)","b","CAPE","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(17.9643090133962, 0.667688946332585)","Intercept","","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(-0.822119881527753, 0.0330516605585894)","b","CAPE","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(17.4943980408302, 0.529118517169175)","Intercept","","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(-0.856799401230454, 0.0369263506272746)","b","CAPE","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(18.1943901961961, 0.584846610658815)","Intercept","","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(-0.819676237585824, 0.0495791862473186)","b","CAPE","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(18.3709833900841, 0.775270058147845)","Intercept","","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(-0.689538274940398, 0.0535705563480276)","b","CAPE","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(16.9576769685665, 0.83531417986689)","Intercept","","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(-0.363345400914522, 0.0449844195379941)","b","CAPE","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(13.0224678112057, 0.733810702888659)","Intercept","","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(-0.373684277048358, 0.0234046249525705)","b","CAPE","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(13.9105654812626, 0.462681339323613)","Intercept","","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(-0.396693474298425, 0.015913498386316)","b","CAPE","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(15.1153508081003, 0.333315524085414)","Intercept","","","","","",NA,NA,"","user"
