"block","prior_date","train_end","prior","class","coef","group","resp","dpar","nlpar","lb","ub","tag","source"
1,1990-01-01,1979-12-01,"normal(-0.928419019448097, 0.0995210435624222)","b","CAPE","","","","",NA,NA,"","user"
1,1990-01-01,1979-12-01,"normal(20.2556102568899, 1.65061842114621)","b","Intercept","","","","",NA,NA,"","user"
1,1990-01-01,1979-12-01,"exponential(1)","sd","","","","","",NA,NA,"","user"
1,1990-01-01,1979-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(-0.81944805041602, 0.0816092194978745)","b","CAPE","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"normal(17.9643090133962, 1.33537789266517)","b","Intercept","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"exponential(1)","sd","","","","","",NA,NA,"","user"
2,1993-01-01,1982-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(-0.822119881527753, 0.0661033211171787)","b","CAPE","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"normal(17.4943980408302, 1.05823703433835)","b","Intercept","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"exponential(1)","sd","","","","","",NA,NA,"","user"
3,1996-01-01,1985-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(-0.856799401230454, 0.0738527012545491)","b","CAPE","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"normal(18.1943901961961, 1.16969322131763)","b","Intercept","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"exponential(1)","sd","","","","","",NA,NA,"","user"
4,1999-01-01,1988-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(-0.819676237585824, 0.0991583724946371)","b","CAPE","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"normal(18.3709833900841, 1.55054011629569)","b","Intercept","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"exponential(1)","sd","","","","","",NA,NA,"","user"
5,2002-01-01,1991-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(-0.689538274940398, 0.107141112696055)","b","CAPE","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"normal(16.9576769685665, 1.67062835973378)","b","Intercept","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"exponential(1)","sd","","","","","",NA,NA,"","user"
6,2005-01-01,1994-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(-0.363345400914522, 0.0899688390759882)","b","CAPE","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"normal(13.0224678112057, 1.46762140577732)","b","Intercept","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"exponential(1)","sd","","","","","",NA,NA,"","user"
7,2008-01-01,1997-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(-0.373684277048358, 0.046809249905141)","b","CAPE","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"normal(13.9105654812626, 0.925362678647226)","b","Intercept","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"exponential(1)","sd","","","","","",NA,NA,"","user"
8,2011-01-01,2000-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(-0.396693474298425, 0.0318269967726321)","b","CAPE","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"normal(15.1153508081003, 0.666631048170828)","b","Intercept","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"exponential(1)","sd","","","","","",NA,NA,"","user"
9,2014-01-01,2003-12-01,"lkj(2)","cor","","","","","",NA,NA,"","user"
